x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
144.000000000,0.152700721,0.171306133,0.302954690,0.089141274
144.500000000,0.118697229,0.129603839,0.277708466,0.081712835
145.000000000,0.087901545,0.087901545,0.252462242,0.074284395
145.500000000,0.060562831,0.079111391,0.227216017,0.066855956
146.000000000,0.036909759,0.070321236,0.201969793,0.059427516
146.500000000,0.017149030,0.061531082,0.176723569,0.051999077
147.000000000,0.001464011,0.052740927,0.151477345,0.044570637
147.500000000,-0.009986468,0.043950773,0.126231121,0.037142198
148.000000000,-0.017069183,0.035160618,0.100984897,0.029713758
148.500000000,-0.019677414,0.026370464,0.075738672,0.022285319
149.000000000,-0.017731689,0.017580309,0.050492448,0.014856879
149.500000000,-0.011180359,0.008790155,0.025246224,0.007428440
150.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000
150.500000000,0.015804359,0.035143828,0.049753776,0.017571560
151.000000000,0.036199178,0.070287657,0.099507552,0.035143121
151.500000000,0.061122534,0.105431485,0.149261328,0.052714681
152.000000000,0.090484409,0.140575313,0.199015103,0.070286242
152.500000000,0.124167169,0.175719141,0.248768879,0.087857802
153.000000000,0.162026202,0.210862970,0.298522655,0.105429363
153.500000000,0.203890723,0.246006798,0.348276431,0.123000923
154.000000000,0.249564749,0.281150626,0.398030207,0.140572484
154.500000000,0.298828221,0.316294455,0.447783983,0.158144044
155.000000000,0.351438283,0.351438283,0.497537758,0.175715605
155.500000000,0.407130698,0.415802006,0.547291534,0.193287165
156.000000000,0.465621400,0.480165730,0.597045310,0.210858726
156.500000000,0.526608166,0.544529453,0.646799086,0.228430286
157.000000000,0.589772407,0.608893176,0.696552862,0.246001847
157.500000000,0.654781054,0.673256900,0.746306638,0.263573407
158.000000000,0.721288547,0.737620623,0.796060413,0.281144968
158.500000000,0.788938886,0.801984347,0.845814189,0.298716528
159.000000000,0.857367767,0.866348070,0.895567965,0.316288089
159.500000000,0.926204757,0.930711793,0.945321741,0.333859649
160.000000000,0.995075517,0.995075517,0.995075517,0.351431210
160.500000000,1.063604048,1.056066207,1.038374841,0.369002770
161.000000000,1.131414952,1.117056898,1.081674165,0.386574331
161.500000000,1.198135690,1.178047588,1.124973489,0.404145891
162.000000000,1.263398826,1.239038279,1.168272813,0.421717451
162.500000000,1.326844243,1.300028969,1.211572137,0.439289012
163.000000000,1.388121314,1.361019660,1.254871461,0.456860572
163.500000000,1.446891025,1.422010350,1.298170785,0.474432133
164.000000000,1.502828017,1.483001040,1.341470109,0.492003693
